,Report_time,GHID,dsf,swi,tsf,vpd,slp,lwo,psf,rh,dsf,swi,tsf,vpd,slp,lwo,psf,rh,dsf,swi,tsf,vpd,slp,lwo,psf,rh,dsf,swi,tsf,vpd,slp,lwo,psf,rh,dsf,swi,tsf,vpd,slp,lwo,psf,rh,dsf,swi,tsf,vpd,slp,lwo,psf,rh
0,2020040100,shgb,291.96,0.0,294.94,0.45,1016.08,266.76,1016.19,82.91,291.96,0.0,294.94,0.45,1016.08,266.76,1016.19,82.91,291.96,0.0,294.94,0.45,1016.08,266.76,1016.19,82.91,291.96,0.0,294.94,0.45,1016.08,266.76,1016.19,82.91,291.96,0.0,294.94,0.45,1016.08,266.76,1016.19,82.91,291.96,0.0,294.94,0.45,1016.08,266.76,1016.19,82.91
1,2020040101,shgb,291.47,0.0,294.71,0.48,1015.33,260.4,1015.29,81.56,291.47,0.0,294.71,0.48,1015.33,260.4,1015.29,81.56,291.47,0.0,294.71,0.48,1015.33,260.4,1015.29,81.56,291.47,0.0,294.71,0.48,1015.33,260.4,1015.29,81.56,291.47,0.0,294.71,0.48,1015.33,260.4,1015.29,81.56,291.47,0.0,294.71,0.48,1015.33,260.4,1015.29,81.56
2,2020040102,shgb,292.17,0.0,293.82,0.24,1014.82,238.68,1014.82,90.12,292.17,0.0,293.82,0.24,1014.82,238.68,1014.82,90.12,292.17,0.0,293.82,0.24,1014.82,238.68,1014.82,90.12,292.17,0.0,293.82,0.24,1014.82,238.68,1014.82,90.12,292.17,0.0,293.82,0.24,1014.82,238.68,1014.82,90.12,292.17,0.0,293.82,0.24,1014.82,238.68,1014.82,90.12
3,2020040103,shgb,291.81,0.0,293.56,0.25,1015.69,252.63,1015.83,89.51,291.81,0.0,293.56,0.25,1015.69,252.63,1015.83,89.51,291.81,0.0,293.56,0.25,1015.69,252.63,1015.83,89.51,291.81,0.0,293.56,0.25,1015.69,252.63,1015.83,89.51,291.81,0.0,293.56,0.25,1015.69,252.63,1015.83,89.51,291.81,0.0,293.56,0.25,1015.69,252.63,1015.83,89.51
4,2020040104,shgb,290.92,0.0,292.95,0.28,1016.02,262.16,1016.11,87.91,290.92,0.0,292.95,0.28,1016.02,262.16,1016.11,87.91,290.92,0.0,292.95,0.28,1016.02,262.16,1016.11,87.91,290.92,0.0,292.95,0.28,1016.02,262.16,1016.11,87.91,290.92,0.0,292.95,0.28,1016.02,262.16,1016.11,87.91,290.92,0.0,292.95,0.28,1016.02,262.16,1016.11,87.91
5,2020040105,shgb,290.51,0.0,292.7,0.3,1015.27,261.58,1015.29,86.93,290.51,0.0,292.7,0.3,1015.27,261.58,1015.29,86.93,290.51,0.0,292.7,0.3,1015.27,261.58,1015.29,86.93,290.51,0.0,292.7,0.3,1015.27,261.58,1015.29,86.93,290.51,0.0,292.7,0.3,1015.27,261.58,1015.29,86.93,290.51,0.0,292.7,0.3,1015.27,261.58,1015.29,86.93
6,2020040106,shgb,290.22,13.96,292.73,0.34,1014.88,263.87,1014.92,85.23,290.22,13.96,292.73,0.34,1014.88,263.87,1014.92,85.23,290.22,13.96,292.73,0.34,1014.88,263.87,1014.92,85.23,290.22,13.96,292.73,0.34,1014.88,263.87,1014.92,85.23,290.22,13.96,292.73,0.34,1014.88,263.87,1014.92,85.23,290.22,13.96,292.73,0.34,1014.88,263.87,1014.92,85.23
7,2020040107,shgb,290.29,398.43,294.62,0.62,1014.36,274.82,1014.36,76.02,290.29,398.43,294.62,0.62,1014.36,274.82,1014.36,76.02,290.29,398.43,294.62,0.62,1014.36,274.82,1014.36,76.02,290.29,398.43,294.62,0.62,1014.36,274.82,1014.36,76.02,290.29,398.43,294.62,0.62,1014.36,274.82,1014.36,76.02,290.29,398.43,294.62,0.62,1014.36,274.82,1014.36,76.02
8,2020040108,shgb,290.14,330.5,294.7,0.65,1015.78,268.91,1015.76,74.92,290.14,330.5,294.7,0.65,1015.78,268.91,1015.76,74.92,290.14,330.5,294.7,0.65,1015.78,268.91,1015.76,74.92,290.14,330.5,294.7,0.65,1015.78,268.91,1015.76,74.92,290.14,330.5,294.7,0.65,1015.78,268.91,1015.76,74.92,290.14,330.5,294.7,0.65,1015.78,268.91,1015.76,74.92
9,2020040109,shgb,290.08,740.8,296.73,1.01,1016.01,269.58,1016.03,65.81,290.08,740.8,296.73,1.01,1016.01,269.58,1016.03,65.81,290.08,740.8,296.73,1.01,1016.01,269.58,1016.03,65.81,290.08,740.8,296.73,1.01,1016.01,269.58,1016.03,65.81,290.08,740.8,296.73,1.01,1016.01,269.58,1016.03,65.81,290.08,740.8,296.73,1.01,1016.01,269.58,1016.03,65.81
10,2020040110,shgb,289.64,803.17,296.3,0.98,1016.19,269.9,1016.22,65.69,289.64,803.17,296.3,0.98,1016.19,269.9,1016.22,65.69,289.64,803.17,296.3,0.98,1016.19,269.9,1016.22,65.69,289.64,803.17,296.3,0.98,1016.19,269.9,1016.22,65.69,289.64,803.17,296.3,0.98,1016.19,269.9,1016.22,65.69,289.64,803.17,296.3,0.98,1016.19,269.9,1016.22,65.69
11,2020040111,shgb,289.37,430.43,296.8,1.1,1017.2,268.29,1017.2,62.62,289.37,430.43,296.8,1.1,1017.2,268.29,1017.2,62.62,289.37,430.43,296.8,1.1,1017.2,268.29,1017.2,62.62,289.37,430.43,296.8,1.1,1017.2,268.29,1017.2,62.62,289.37,430.43,296.8,1.1,1017.2,268.29,1017.2,62.62,289.37,430.43,296.8,1.1,1017.2,268.29,1017.2,62.62
12,2020040112,shgb,289.27,910.65,298.4,1.42,1016.18,286.22,1016.19,56.43,289.27,910.65,298.4,1.42,1016.18,286.22,1016.19,56.43,289.27,910.65,298.4,1.42,1016.18,286.22,1016.19,56.43,289.27,910.65,298.4,1.42,1016.18,286.22,1016.19,56.43,289.27,910.65,298.4,1.42,1016.18,286.22,1016.19,56.43,289.27,910.65,298.4,1.42,1016.18,286.22,1016.19,56.43
13,2020040113,shgb,288.32,833.14,297.21,1.3,1015.14,285.99,1015.15,57.05,288.32,833.14,297.21,1.3,1015.14,285.99,1015.15,57.05,288.32,833.14,297.21,1.3,1015.14,285.99,1015.15,57.05,288.32,833.14,297.21,1.3,1015.14,285.99,1015.15,57.05,288.32,833.14,297.21,1.3,1015.14,285.99,1015.15,57.05,288.32,833.14,297.21,1.3,1015.14,285.99,1015.15,57.05
14,2020040114,shgb,287.86,690.44,296.4,1.21,1014.89,284.63,1014.84,58.19,287.86,690.44,296.4,1.21,1014.89,284.63,1014.84,58.19,287.86,690.44,296.4,1.21,1014.89,284.63,1014.84,58.19,287.86,690.44,296.4,1.21,1014.89,284.63,1014.84,58.19,287.86,690.44,296.4,1.21,1014.89,284.63,1014.84,58.19,287.86,690.44,296.4,1.21,1014.89,284.63,1014.84,58.19
15,2020040115,shgb,287.58,499.5,295.8,1.13,1014.85,281.82,1014.83,59.27,287.58,499.5,295.8,1.13,1014.85,281.82,1014.83,59.27,287.58,499.5,295.8,1.13,1014.85,281.82,1014.83,59.27,287.58,499.5,295.8,1.13,1014.85,281.82,1014.83,59.27,287.58,499.5,295.8,1.13,1014.85,281.82,1014.83,59.27,287.58,499.5,295.8,1.13,1014.85,281.82,1014.83,59.27
16,2020040116,shgb,287.31,280.48,295.1,1.05,1014.63,282.45,1014.53,60.78,287.31,280.48,295.1,1.05,1014.63,282.45,1014.53,60.78,287.31,280.48,295.1,1.05,1014.63,282.45,1014.53,60.78,287.31,280.48,295.1,1.05,1014.63,282.45,1014.53,60.78,287.31,280.48,295.1,1.05,1014.63,282.45,1014.53,60.78,287.31,280.48,295.1,1.05,1014.63,282.45,1014.53,60.78
17,2020040117,shgb,287.43,62.39,293.25,0.74,1015.15,279.65,1015.13,68.78,287.43,62.39,293.25,0.74,1015.15,279.65,1015.13,68.78,287.43,62.39,293.25,0.74,1015.15,279.65,1015.13,68.78,287.43,62.39,293.25,0.74,1015.15,279.65,1015.13,68.78,287.43,62.39,293.25,0.74,1015.15,279.65,1015.13,68.78,287.43,62.39,293.25,0.74,1015.15,279.65,1015.13,68.78
18,2020040118,shgb,287.55,0.0,291.82,0.52,1015.44,275.4,1015.41,75.9,287.55,0.0,291.82,0.52,1015.44,275.4,1015.41,75.9,287.55,0.0,291.82,0.52,1015.44,275.4,1015.41,75.9,287.55,0.0,291.82,0.52,1015.44,275.4,1015.41,75.9,287.55,0.0,291.82,0.52,1015.44,275.4,1015.41,75.9,287.55,0.0,291.82,0.52,1015.44,275.4,1015.41,75.9
19,2020040119,shgb,287.3,0.0,291.67,0.53,1015.49,271.44,1015.45,75.41,287.3,0.0,291.67,0.53,1015.49,271.44,1015.45,75.41,287.3,0.0,291.67,0.53,1015.49,271.44,1015.45,75.41,287.3,0.0,291.67,0.53,1015.49,271.44,1015.45,75.41,287.3,0.0,291.67,0.53,1015.49,271.44,1015.45,75.41,287.3,0.0,291.67,0.53,1015.49,271.44,1015.45,75.41
20,2020040120,shgb,287.21,0.0,291.74,0.55,1016.93,272.22,1016.91,74.61,287.21,0.0,291.74,0.55,1016.93,272.22,1016.91,74.61,287.21,0.0,291.74,0.55,1016.93,272.22,1016.91,74.61,287.21,0.0,291.74,0.55,1016.93,272.22,1016.91,74.61,287.21,0.0,291.74,0.55,1016.93,272.22,1016.91,74.61,287.21,0.0,291.74,0.55,1016.93,272.22,1016.91,74.61
21,2020040121,shgb,287.29,0.0,292.46,0.64,1016.67,259.52,1016.62,71.64,287.29,0.0,292.46,0.64,1016.67,259.52,1016.62,71.64,287.29,0.0,292.46,0.64,1016.67,259.52,1016.62,71.64,287.29,0.0,292.46,0.64,1016.67,259.52,1016.62,71.64,287.29,0.0,292.46,0.64,1016.67,259.52,1016.62,71.64,287.29,0.0,292.46,0.64,1016.67,259.52,1016.62,71.64
22,2020040122,shgb,287.29,0.0,292.51,0.65,1016.81,257.25,1016.8,71.43,287.29,0.0,292.51,0.65,1016.81,257.25,1016.8,71.43,287.29,0.0,292.51,0.65,1016.81,257.25,1016.8,71.43,287.29,0.0,292.51,0.65,1016.81,257.25,1016.8,71.43,287.29,0.0,292.51,0.65,1016.81,257.25,1016.8,71.43,287.29,0.0,292.51,0.65,1016.81,257.25,1016.8,71.43
23,2020040123,shgb,287.5,0.0,292.57,0.64,1018.24,256.77,1018.2,72.14,287.5,0.0,292.57,0.64,1018.24,256.77,1018.2,72.14,287.5,0.0,292.57,0.64,1018.24,256.77,1018.2,72.14,287.5,0.0,292.57,0.64,1018.24,256.77,1018.2,72.14,287.5,0.0,292.57,0.64,1018.24,256.77,1018.2,72.14,287.5,0.0,292.57,0.64,1018.24,256.77,1018.2,72.14
24,2020040200,shgb,287.5,0.0,292.35,0.6,1018.66,264.91,1018.71,73.19,287.5,0.0,292.35,0.6,1018.66,264.91,1018.71,73.19,287.5,0.0,292.35,0.6,1018.66,264.91,1018.71,73.19,287.5,0.0,292.35,0.6,1018.66,264.91,1018.71,73.19,287.5,0.0,292.35,0.6,1018.66,264.91,1018.71,73.19,287.5,0.0,292.35,0.6,1018.66,264.91,1018.71,73.19
25,2020040201,shgb,287.79,0.0,292.28,0.56,1017.94,259.75,1017.96,74.91,287.79,0.0,292.28,0.56,1017.94,259.75,1017.96,74.91,287.79,0.0,292.28,0.56,1017.94,259.75,1017.96,74.91,287.79,0.0,292.28,0.56,1017.94,259.75,1017.96,74.91,287.79,0.0,292.28,0.56,1017.94,259.75,1017.96,74.91,287.79,0.0,292.28,0.56,1017.94,259.75,1017.96,74.91
26,2020040202,shgb,288.23,0.0,291.74,0.44,1016.85,270.28,1016.76,79.75,288.23,0.0,291.74,0.44,1016.85,270.28,1016.76,79.75,288.23,0.0,291.74,0.44,1016.85,270.28,1016.76,79.75,288.23,0.0,291.74,0.44,1016.85,270.28,1016.76,79.75,288.23,0.0,291.74,0.44,1016.85,270.28,1016.76,79.75,288.23,0.0,291.74,0.44,1016.85,270.28,1016.76,79.75
27,2020040203,shgb,288.5,0.0,292.3,0.49,1017.67,251.44,1017.62,78.35,288.5,0.0,292.3,0.49,1017.67,251.44,1017.62,78.35,288.5,0.0,292.3,0.49,1017.67,251.44,1017.62,78.35,288.5,0.0,292.3,0.49,1017.67,251.44,1017.62,78.35,288.5,0.0,292.3,0.49,1017.67,251.44,1017.62,78.35,288.5,0.0,292.3,0.49,1017.67,251.44,1017.62,78.35
28,2020040204,shgb,288.31,0.0,292.64,0.56,1017.45,253.2,1017.47,75.74,288.31,0.0,292.64,0.56,1017.45,253.2,1017.47,75.74,288.31,0.0,292.64,0.56,1017.45,253.2,1017.47,75.74,288.31,0.0,292.64,0.56,1017.45,253.2,1017.47,75.74,288.31,0.0,292.64,0.56,1017.45,253.2,1017.47,75.74,288.31,0.0,292.64,0.56,1017.45,253.2,1017.47,75.74
29,2020040205,shgb,288.5,0.0,292.32,0.49,1017.19,245.38,1017.32,78.23,288.5,0.0,292.32,0.49,1017.19,245.38,1017.32,78.23,288.5,0.0,292.32,0.49,1017.19,245.38,1017.32,78.23,288.5,0.0,292.32,0.49,1017.19,245.38,1017.32,78.23,288.5,0.0,292.32,0.49,1017.19,245.38,1017.32,78.23,288.5,0.0,292.32,0.49,1017.19,245.38,1017.32,78.23
30,2020040206,shgb,289.19,82.3,292.38,0.42,1017.43,230.99,1017.44,81.54,289.19,82.3,292.38,0.42,1017.43,230.99,1017.44,81.54,289.19,82.3,292.38,0.42,1017.43,230.99,1017.44,81.54,289.19,82.3,292.38,0.42,1017.43,230.99,1017.44,81.54,289.19,82.3,292.38,0.42,1017.43,230.99,1017.44,81.54,289.19,82.3,292.38,0.42,1017.43,230.99,1017.44,81.54
