Report_time,GHID,Reportid,F00,F01,F02,F03,F04,F05,F06
2020090108,shgb,dsf,297.53,294.70,294.36,295.75,295.71,295.37,295.50
2020090108,shgb,lwo,0.00,286.00,288.65,290.24,289.40,290.28,292.19
2020090108,shgb,psf,1003.64,1003.50,1003.31,1003.95,1003.64,1003.08,1002.45
2020090108,shgb,rh,78.98,53.36,50.65,54.62,53.18,51.89,53.08
2020090108,shgb,slp,1003.89,1003.73,1003.54,1004.21,1003.88,1003.28,1002.72
2020090108,shgb,swi,9999.9,590.66,755.00,862.63,908.33,889.73,808.67
2020090108,shgb,tsf,301.44,305.16,305.70,305.89,306.31,306.39,306.13
2020090108,shgb,vpd,0.82,2.24,2.45,2.28,2.40,2.48,2.39
2020090108,tarib,dsf,294.12,293.62,293.00,292.42,292.86,293.38,293.48
2020090108,tarib,lwo,0.00,286.33,278.61,292.50,291.45,293.51,276.52
2020090108,tarib,psf,992.37,992.34,991.81,992.30,991.97,991.44,990.86
2020090108,tarib,rh,70.75,54.96,48.61,42.24,42.73,43.44,46.85
2020090108,tarib,slp,1003.79,1003.68,1003.07,1003.57,1003.21,1002.62,1002.11
2020090108,tarib,swi,9999.9,597.62,477.04,898.28,913.67,1399.89,615.93
2020090108,tarib,tsf,299.75,303.47,304.90,306.69,306.97,307.25,306.05
2020090108,tarib,vpd,1.03,1.97,2.44,3.03,3.05,3.06,2.69
2020090108,xshb,dsf,293.74,292.90,293.85,293.33,293.03,293.47,293.72
2020090108,xshb,lwo,0.00,283.57,268.97,285.40,279.36,275.08,281.09
2020090108,xshb,psf,948.38,948.47,948.18,948.80,948.48,947.98,947.52
2020090108,xshb,rh,76.15,63.13,71.23,58.05,57.47,60.45,62.54
2020090108,xshb,slp,1003.95,1003.83,1003.53,1003.95,1003.57,1003.04,1002.64
2020090108,xshb,swi,9999.9,606.04,100.35,1337.33,1073.87,764.83,699.21
2020090108,xshb,tsf,298.14,300.37,299.36,302.23,302.08,301.70,301.39
2020090108,xshb,vpd,0.76,1.35,0.99,1.71,1.72,1.56,1.45
2020090109,shgb,dsf,297.52,294.66,294.74,295.58,295.46,295.45,295.47
2020090109,shgb,lwo,0.00,287.12,288.38,289.81,290.26,290.95,292.57
2020090109,shgb,psf,1003.81,1003.57,1003.29,1003.50,1003.15,1002.61,1002.13
2020090109,shgb,rh,76.45,51.04,50.55,53.21,52.32,52.62,54.31
2020090109,shgb,slp,1004.07,1003.80,1003.51,1003.76,1003.37,1002.82,1002.40
2020090109,shgb,swi,9999.9,751.89,862.76,909.15,890.88,808.53,669.51
2020090109,shgb,tsf,301.97,305.89,306.16,306.17,306.34,306.24,305.71
2020090109,shgb,vpd,0.94,2.46,2.52,2.38,2.45,2.42,2.27
2020090109,tarib,dsf,294.01,293.29,292.96,292.58,293.12,292.81,292.68
2020090109,tarib,lwo,0.00,288.07,277.24,287.27,293.45,287.52,285.59
2020090109,tarib,psf,992.28,992.25,991.61,991.81,991.52,990.96,990.51
2020090109,tarib,rh,65.69,49.05,46.03,41.82,42.77,41.86,42.45
2020090109,tarib,slp,1003.65,1003.53,1002.83,1003.04,1002.75,1002.13,1001.74
2020090109,tarib,swi,9999.9,759.26,682.29,876.25,917.90,1053.13,784.14
2020090109,tarib,tsf,300.87,305.05,305.80,307.04,307.24,307.27,306.89
2020090109,tarib,vpd,1.29,2.44,2.69,3.11,3.10,3.15,3.05
2020090109,xshb,dsf,293.80,292.90,293.09,293.36,293.34,292.78,292.78
2020090109,xshb,lwo,0.00,284.85,287.12,278.12,279.33,285.81,289.90
2020090109,xshb,psf,948.44,948.49,948.09,948.37,948.14,947.59,947.26
2020090109,xshb,rh,72.64,59.08,57.32,59.12,57.77,54.26,54.65
2020090109,xshb,slp,1003.86,1003.69,1003.20,1003.46,1003.17,1002.49,1002.20
2020090109,xshb,swi,9999.9,768.13,903.84,885.29,1052.15,784.23,673.17
2020090109,xshb,tsf,298.99,301.48,302.18,301.95,302.32,302.79,302.66
2020090109,xshb,vpd,0.92,1.60,1.73,1.64,1.73,1.92,1.89
2020090110,shgb,dsf,294.66,294.74,295.58,295.46,295.45,295.47,295.75
2020090110,shgb,lwo,287.12,288.38,289.81,290.26,290.95,292.57,292.02
2020090110,shgb,psf,1003.57,1003.29,1003.50,1003.15,1002.61,1002.13,1002.36
2020090110,shgb,rh,51.04,50.55,53.21,52.32,52.62,54.31,57.79
2020090110,shgb,slp,1003.80,1003.51,1003.76,1003.37,1002.82,1002.40,1002.57
2020090110,shgb,swi,751.9,862.76,909.15,890.88,808.53,669.51,484.09
2020090110,shgb,tsf,305.89,306.16,306.17,306.34,306.24,305.71,304.92
2020090110,shgb,vpd,2.46,2.52,2.38,2.45,2.42,2.27,2.00
2020090110,tarib,dsf,293.29,292.96,292.58,293.12,292.81,292.68,292.92
2020090110,tarib,lwo,288.07,277.24,287.27,293.45,287.52,285.59,293.18
2020090110,tarib,psf,992.25,991.61,991.81,991.52,990.96,990.51,990.82
2020090110,tarib,rh,49.05,46.03,41.82,42.77,41.86,42.45,44.09
