,dsf,lwo,psf,rh,slp,swi,tsf,vpd
0,286.21,0.0,1017.6,72.37,1017.88,9999.9,291.19,0.58
1,286.59,0.0,1005.72,70.82,1017.64,9999.9,291.92,0.64
2,286.32,0.0,958.82,73.97,1016.53,9999.9,290.95,0.54
3,287.98,0.0,1017.53,74.53,1017.98,9999.9,292.55,0.58
4,287.83,0.0,1007.09,77.35,1019.18,9999.9,291.81,0.49
5,286.63,0.0,960.32,79.08,1018.32,9999.9,290.24,0.41
6,289.41,0.0,1012.68,76.84,1012.95,9999.9,293.55,0.56
7,287.08,0.0,1001.25,70.93,1013.06,9999.9,292.4,0.66
8,285.72,0.0,955.58,71.07,1012.89,9999.9,290.96,0.6
9,289.38,0.0,1012.02,76.16,1012.3,9999.9,293.66,0.58
10,286.96,0.0,1000.86,71.21,1012.68,9999.9,292.21,0.64
11,285.85,0.0,955.15,73.33,1012.43,9999.9,290.61,0.54
12,288.76,0.0,1012.82,78.92,1013.08,9999.9,292.46,0.48
13,286.01,0.0,1001.8,70.51,1013.64,9999.9,291.38,0.62
14,284.98,0.0,956.18,70.54,1013.66,9999.9,290.31,0.58
15,288.79,0.0,1013.8,77.56,1014.05,9999.9,292.76,0.52
16,286.43,0.0,1002.79,69.75,1014.63,9999.9,291.99,0.67
17,285.53,0.0,957.19,70.38,1014.55,9999.9,290.91,0.61
18,290.77,0.0,1010.64,70.36,1010.89,9999.9,296.37,0.85
19,289.42,0.0,998.79,66.85,1010.44,9999.9,295.79,0.92
20,289.07,0.0,953.67,63.46,1009.93,9999.9,296.26,1.05
21,290.21,0.0,1009.83,85.68,1010.12,9999.9,292.64,0.33
22,287.01,0.0,998.37,73.44,1010.18,9999.9,291.78,0.58
23,285.88,0.0,952.74,73.23,1009.87,9999.9,290.65,0.54
24,290.08,0.0,1009.86,57.95,1010.1,9999.9,298.81,1.4
25,288.23,0.0,998.62,57.52,1010.22,9999.9,296.97,1.27
26,286.3,0.0,953.34,50.81,1009.46,9999.9,296.93,1.47
27,290.9,0.0,1009.05,57.86,1009.29,9999.9,299.71,1.48
28,289.08,0.0,997.5,57.32,1009.04,9999.9,297.93,1.35
29,287.12,0.0,952.76,52.32,1008.81,9999.9,297.33,1.46
30,292.67,0.0,1006.65,62.67,1007.12,9999.9,300.26,1.36
31,291.36,0.0,996.11,62.09,1008.06,9999.9,299.03,1.28
32,289.74,0.0,951.68,68.01,1007.97,9999.9,295.84,0.89
33,292.71,254.12,1009.11,81.2,1009.13,0.0,296.05,0.53
34,291.05,254.5,997.78,77.38,1009.24,0.0,295.12,0.6
35,288.74,251.87,953.02,71.97,1008.9,0.0,293.89,0.69
36,290.96,0.0,1013.33,91.94,1013.94,9999.9,292.28,0.18
37,290.08,0.0,1001.79,96.49,1014.05,9999.9,290.64,0.07
38,289.04,0.0,956.01,93.45,1013.94,9999.9,290.09,0.13
39,286.89,0.0,1018.65,73.1,1018.95,9999.9,291.73,0.58
40,285.47,0.0,1008.02,71.46,1020.03,9999.9,290.62,0.58
41,284.28,0.0,960.92,71.73,1018.91,9999.9,289.33,0.53
42,288.46,0.0,1018.03,81.14,1018.29,9999.9,291.71,0.41
43,287.34,0.0,1007.65,77.62,1019.62,9999.9,291.26,0.47
44,286.36,0.0,960.4,75.99,1018.15,9999.9,290.58,0.48
45,288.01,0.0,1018.07,70.34,1018.47,9999.9,293.5,0.72
46,287.07,0.0,1007.3,65.54,1019.28,9999.9,293.65,0.84
47,286.79,0.0,960.2,65.41,1017.53,9999.9,293.38,0.83
48,288.66,0.0,1018.04,74.38,1018.44,9999.9,293.29,0.61
49,287.61,0.0,1007.39,69.27,1019.34,9999.9,293.32,0.73
50,287.28,0.0,960.31,74.09,1017.93,9999.9,291.93,0.57
51,289.35,0.0,1018.08,77.41,1018.49,9999.9,293.37,0.54
52,288.25,0.0,1007.4,68.88,1019.34,9999.9,294.09,0.78
53,287.83,0.0,960.31,71.74,1017.79,9999.9,293.0,0.66
54,289.55,0.0,1017.03,78.12,1017.38,9999.9,293.43,0.53
55,288.77,0.0,1006.38,69.42,1018.26,9999.9,294.5,0.79
56,288.21,0.0,959.44,76.3,1016.94,9999.9,292.42,0.54
57,289.84,0.0,1016.42,79.98,1016.75,9999.9,293.35,0.48
58,289.39,0.0,1005.08,69.56,1016.88,9999.9,295.11,0.81
59,289.04,0.0,958.55,77.55,1015.82,9999.9,293.02,0.53
60,289.83,0.0,1016.06,80.02,1016.37,9999.9,293.33,0.48
61,289.76,0.0,1004.79,71.9,1016.59,9999.9,294.97,0.74
62,289.22,0.0,958.54,76.0,1015.69,9999.9,293.52,0.58
63,289.78,0.0,1015.32,77.41,1015.58,9999.9,293.81,0.56
64,289.94,0.0,1003.71,69.76,1015.43,9999.9,295.64,0.83
65,289.3,0.0,958.02,75.42,1015.11,9999.9,293.72,0.6
66,289.73,0.0,1015.02,76.59,1015.26,9999.9,293.93,0.58
67,290.21,0.0,1003.34,72.23,1015.07,9999.9,295.36,0.75
68,289.37,0.0,957.77,75.85,1014.85,9999.9,293.7,0.59
69,289.75,0.0,1014.47,78.05,1014.71,9999.9,293.64,0.54
70,290.27,0.0,1003.56,73.14,1015.31,9999.9,295.22,0.72
71,289.21,0.0,957.96,76.0,1015.04,9999.9,293.51,0.58
72,289.74,0.0,1015.87,81.37,1016.13,9999.9,292.97,0.44
73,290.42,0.0,1004.82,80.13,1016.66,9999.9,293.91,0.49
74,289.03,0.0,958.66,81.2,1015.97,9999.9,292.28,0.42
75,289.82,0.0,1015.91,82.02,1016.19,9999.9,292.93,0.42
76,289.74,0.0,1005.06,80.78,1016.93,9999.9,293.08,0.45
77,288.01,0.0,958.85,78.05,1016.18,9999.9,291.86,0.48
78,289.84,0.0,1016.37,82.59,1016.7,9999.9,292.83,0.4
79,289.29,0.0,1005.5,80.47,1017.4,9999.9,292.68,0.45
80,287.44,0.0,959.19,75.36,1016.54,9999.9,291.82,0.54
81,289.81,0.0,1016.56,81.48,1016.87,9999.9,293.02,0.43
82,288.74,0.0,1005.72,77.13,1017.64,9999.9,292.79,0.53
83,286.95,0.0,959.36,71.96,1016.67,9999.9,292.04,0.62
84,289.75,0.0,1016.65,79.76,1016.99,9999.9,293.3,0.48
85,288.42,0.0,1006.13,75.29,1018.04,9999.9,292.85,0.57
86,286.7,0.0,959.55,70.17,1016.83,9999.9,292.18,0.66
87,289.7,0.0,1016.41,78.79,1016.7,9999.9,293.45,0.51
88,288.03,0.0,1005.69,72.91,1017.71,9999.9,292.95,0.63
89,286.55,0.0,959.39,68.53,1016.62,9999.9,292.4,0.71
90,289.96,0.0,1017.05,84.13,1017.32,9999.9,292.67,0.36
91,288.83,0.0,1006.58,76.0,1018.46,9999.9,293.12,0.57
92,288.34,0.0,960.23,75.63,1017.49,9999.9,292.69,0.56
93,290.2,0.0,1017.01,79.65,1017.28,9999.9,293.78,0.5
94,289.93,0.0,1006.51,72.89,1018.33,9999.9,294.92,0.72
95,289.12,0.0,960.01,69.57,1016.91,9999.9,294.83,0.8
96,290.25,0.0,1017.05,75.85,1017.33,9999.9,294.62,0.63
97,289.94,0.0,1005.9,67.68,1017.66,9999.9,296.13,0.92
98,289.43,0.0,959.83,67.52,1016.6,9999.9,295.64,0.89
99,290.34,0.0,1017.45,75.27,1017.71,9999.9,294.83,0.65
100,290.16,0.0,1006.44,65.52,1018.18,9999.9,296.88,1.02
101,289.83,0.0,959.9,66.85,1016.59,9999.9,296.21,0.95
102,290.36,0.0,1016.67,74.07,1016.93,9999.9,295.11,0.69
103,290.33,0.0,1005.24,65.1,1016.95,9999.9,297.17,1.05
104,290.17,0.0,959.13,70.91,1015.89,9999.9,295.62,0.8
105,290.31,0.0,1015.89,70.81,1016.14,9999.9,295.79,0.81
106,290.56,0.0,1003.88,63.29,1015.52,9999.9,297.87,1.16
107,290.4,0.0,958.35,68.83,1014.97,9999.9,296.33,0.9
108,290.46,0.0,1015.21,68.53,1015.46,9999.9,296.48,0.91
109,290.76,0.0,1003.45,63.87,1015.09,9999.9,297.93,1.14
110,290.57,0.0,958.0,72.11,1014.73,9999.9,295.76,0.77
111,290.65,0.0,1014.76,66.74,1014.99,9999.9,297.1,1.0
112,290.89,0.0,1003.13,62.48,1014.73,9999.9,298.43,1.22
113,290.58,0.0,957.82,69.29,1014.43,9999.9,296.42,0.89
114,290.75,0.0,1014.64,70.66,1014.87,9999.9,296.27,0.84
115,291.0,0.0,1003.04,65.6,1014.67,9999.9,297.75,1.08
116,290.68,0.0,957.81,73.27,1014.54,9999.9,295.62,0.74
117,290.63,0.0,1014.69,74.26,1014.93,9999.9,295.34,0.7
118,291.1,0.0,1003.08,69.79,1014.74,9999.9,296.84,0.89
119,290.77,0.0,957.73,77.57,1014.59,9999.9,294.79,0.59
120,284.5,0.0,1017.83,73.52,1018.08,9999.9,289.18,0.49
121,283.47,0.0,1006.86,77.1,1018.97,9999.9,287.38,0.38
122,281.51,0.0,959.18,71.83,1017.61,9999.9,286.44,0.43
123,284.21,0.0,1017.13,72.23,1017.38,9999.9,289.14,0.51
124,283.4,0.0,1005.82,76.44,1017.9,9999.9,287.44,0.39
125,281.41,0.0,958.55,73.74,1017.01,9999.9,285.94,0.39
126,283.91,0.0,1017.29,72.13,1017.55,9999.9,288.85,0.5
127,283.04,0.0,1005.93,75.92,1018.03,9999.9,287.17,0.39
128,281.05,0.0,958.61,72.54,1017.1,9999.9,285.81,0.41
129,283.64,0.0,1017.07,71.58,1017.33,9999.9,288.7,0.51
130,282.68,0.0,1005.83,75.28,1017.94,9999.9,286.93,0.39
131,280.83,0.0,958.44,73.37,1016.98,9999.9,285.41,0.38
132,283.5,0.0,1017.53,71.49,1017.79,9999.9,288.57,0.51
133,282.44,0.0,1006.61,76.17,1018.75,9999.9,286.51,0.37
134,280.49,0.0,958.9,72.5,1017.5,9999.9,285.24,0.39
135,283.32,0.0,1018.43,71.65,1018.68,9999.9,288.34,0.5
136,282.14,0.0,1007.6,75.87,1019.76,9999.9,286.26,0.37
137,280.26,0.0,959.95,72.18,1018.7,9999.9,285.07,0.39
138,283.1,0.0,1019.5,71.68,1019.76,9999.9,288.11,0.49
139,281.87,0.0,1008.66,75.73,1020.85,9999.9,286.01,0.36
140,280.22,0.0,961.08,72.39,1019.94,9999.9,284.98,0.39
141,282.73,0.0,1019.91,69.59,1020.16,9999.9,288.18,0.53
142,282.42,0.0,1008.99,75.28,1021.16,9999.9,286.67,0.39
143,280.82,0.0,961.26,69.82,1019.95,9999.9,286.15,0.46
144,282.19,0.0,1019.84,62.11,1020.08,9999.9,289.37,0.71
145,282.08,0.0,1008.86,66.41,1020.96,9999.9,288.22,0.58
