,dsf,lwo,psf,rh,slp,swi,tsf,vpd
0,286.17,266.91,1017.84,80.03,1017.77,0.0,289.57,0.38
1,285.46,267.97,1005.84,73.16,1017.43,0.0,290.24,0.53
2,285.41,266.9,959.84,83.07,1017.69,0.0,288.23,0.29
3,288.18,270.78,1016.18,88.89,1016.14,0.0,290.0,0.22
4,287.57,270.77,1004.88,88.97,1016.47,0.0,289.37,0.21
5,286.07,269.22,958.98,84.43,1016.25,0.0,288.66,0.28
6,289.52,274.03,1013.21,84.39,1013.24,66.14,292.17,0.35
7,287.51,273.79,1001.75,78.4,1013.29,69.65,291.27,0.45
8,286.02,271.6,956.44,77.52,1013.41,72.79,289.92,0.43
9,289.39,277.24,1013.44,66.68,1013.46,282.2,295.81,0.93
10,287.81,277.09,1001.96,64.04,1013.45,288.23,294.79,0.94
11,286.71,275.26,956.7,66.34,1013.52,294.31,293.07,0.79
12,290.77,284.47,1012.5,60.83,1012.47,860.75,298.79,1.3
13,289.37,290.2,1000.28,46.5,1011.43,867.96,301.72,2.11
14,287.72,288.05,955.59,50.54,1011.37,877.37,298.54,1.62
15,290.63,287.62,1011.53,58.78,1011.44,857.04,299.21,1.41
16,289.52,293.77,999.22,46.49,1010.36,862.75,301.88,2.14
17,288.43,292.2,954.53,51.37,1010.2,872.15,299.03,1.64
18,291.66,281.06,1011.96,91.02,1011.94,0.0,293.14,0.21
19,291.34,280.14,1000.32,85.28,1011.78,0.0,293.86,0.36
20,290.91,278.82,954.91,89.58,1011.75,0.0,292.64,0.24
21,289.58,285.55,1010.61,65.74,1010.54,287.28,296.23,0.98
22,288.4,285.19,999.34,64.6,1010.75,293.22,295.27,0.95
23,289.43,283.13,954.14,81.88,1011.0,300.22,292.56,0.41
24,293.4,290.17,1007.18,66.7,1007.09,458.4,300.0,1.19
25,292.06,293.6,995.14,51.81,1006.27,458.99,302.79,2.03
26,292.03,287.24,951.38,67.04,1006.88,413.78,298.46,1.08
27,293.25,289.01,1007.35,71.05,1007.26,242.67,298.79,0.96
28,292.85,292.44,995.53,61.93,1006.76,246.55,300.64,1.41
29,292.46,288.38,951.6,73.99,1007.29,254.59,297.29,0.79
30,293.68,252.49,1009.53,81.91,1009.59,0.0,296.89,0.54
31,293.93,276.42,998.54,85.98,1009.88,0.0,296.36,0.4
32,288.72,261.85,953.62,73.7,1009.66,0.0,293.49,0.64
33,293.15,256.66,1010.45,87.96,1010.4,0.0,295.2,0.32
34,291.08,264.64,999.19,83.56,1010.52,0.0,293.91,0.41
35,289.49,262.47,954.25,85.59,1010.53,0.0,291.92,0.32
36,287.7,245.22,1012.34,70.34,1012.24,201.8,293.18,0.7
