,Report_time,GHID,Reportid,TimeID,dsf,swi,tsf,vpd,slp,lwo,psf,rh
0,2020040100,shgb,dsf,f02,291.93,0.00,294.30,0.35,1013.08,272.82,1013.15,86.14
1,2020040101,shgb,dsf,f02,292.49,0.00,294.05,0.23,1013.33,262.95,1013.45,90.65
2,2020040102,shgb,dsf,f02,292.05,0.00,293.45,0.20,1013.84,272.00,1013.91,91.55
3,2020040103,shgb,dsf,f02,291.31,0.00,293.17,0.26,1014.01,275.98,1014.05,88.85
4,2020040104,shgb,dsf,f02,290.86,0.00,292.35,0.20,1014.54,277.28,1014.69,90.92
5,2020040105,shgb,dsf,f02,290.48,166.25,293.17,0.37,1015.17,277.84,1015.25,84.25
6,2020040106,shgb,dsf,f02,290.46,480.83,294.71,0.61,1015.99,281.25,1016.01,76.41
7,2020040107,shgb,dsf,f02,290.51,240.08,294.69,0.60,1016.80,267.15,1016.82,76.80
8,2020040108,shgb,dsf,f02,290.31,1129.96,297.94,1.20,1016.32,283.21,1016.31,62.10
9,2020040109,shgb,dsf,f02,289.87,866.29,298.01,1.27,1015.48,282.95,1015.52,60.14
10,2020040110,shgb,dsf,f02,289.17,293.57,295.94,0.98,1014.60,267.56,1014.60,65.19
11,2020040111,shgb,dsf,f02,289.06,910.74,298.43,1.45,1013.07,289.40,1013.15,55.59
12,2020040112,shgb,dsf,f02,288.81,830.79,297.97,1.39,1012.81,289.92,1012.90,56.25
13,2020040113,shgb,dsf,f02,287.84,690.64,296.26,1.18,1014.17,286.64,1014.18,58.61
14,2020040114,shgb,dsf,f02,287.69,499.12,295.90,1.14,1013.96,282.98,1013.96,59.37
15,2020040115,shgb,dsf,f02,288.07,280.20,294.80,0.91,1014.12,282.10,1014.08,65.10
16,2020040116,shgb,dsf,f02,287.97,62.22,293.12,0.66,1015.00,279.22,1014.98,71.87
17,2020040117,shgb,dsf,f02,287.67,0.00,291.89,0.52,1015.88,274.30,1015.86,76.17
18,2020040118,shgb,dsf,f02,287.38,0.00,291.28,0.47,1016.88,272.76,1016.87,77.71
19,2020040119,shgb,dsf,f02,286.84,0.00,291.76,0.59,1017.04,263.35,1017.04,72.74
20,2020040120,shgb,dsf,f02,287.11,0.00,292.01,0.60,1016.82,262.19,1016.85,72.86
21,2020040121,shgb,dsf,f02,287.49,0.00,292.05,0.56,1016.93,260.01,1016.91,74.48
22,2020040122,shgb,dsf,f02,287.44,0.00,292.23,0.59,1016.99,255.27,1016.98,73.44
23,2020040123,shgb,dsf,f02,287.85,0.00,291.80,0.49,1015.85,269.80,1015.87,77.51
24,2020040200,shgb,dsf,f02,287.96,0.00,292.05,0.51,1015.59,251.32,1015.67,76.82
25,2020040201,shgb,dsf,f02,288.21,0.00,291.72,0.44,1015.47,270.32,1015.54,79.78
26,2020040202,shgb,dsf,f02,288.14,0.00,291.96,0.48,1016.08,254.04,1016.15,78.20
27,2020040203,shgb,dsf,f02,288.72,0.00,291.79,0.39,1016.01,268.41,1016.11,82.08
28,2020040204,shgb,dsf,f02,288.31,0.00,292.01,0.47,1016.40,271.83,1016.36,78.80
29,2020040205,shgb,dsf,f02,288.76,14.89,292.35,0.46,1017.08,253.66,1017.13,79.47
30,2020040206,shgb,dsf,f02,289.61,252.58,293.53,0.54,1018.30,266.30,1018.43,77.90
