,0
0,5452
1,5453
2,5454
3,5455
4,5456
5,5457
6,5458
7,5459
8,5460
9,5461
10,5462
11,5463
12,5464
13,5465
14,5466
15,5467
16,5468
17,5469
18,5470
19,5471
20,5472
21,5473
22,5474
23,5475
24,5476
25,5477
26,5478
27,5479
28,5480
29,5481
30,5482
31,5483
32,5484
33,5485
34,5486
35,5487
36,5488
37,5489
38,5490
39,5491
40,5492
41,5493
42,5494
43,5495
44,5496
45,5497
46,5498
47,5499
48,5500
49,5501
50,5502
51,5503
52,5504
53,5505
54,5506
55,5507
56,5508
57,5509
58,5510
59,5511
60,5512
61,5513
62,5514
63,5515
64,5516
65,5517
66,5518
67,5519
68,5520
69,5521
70,5522
71,5523
72,5524
73,5525
74,5526
75,5527
76,5528
77,5529
78,5530
79,5531
80,5532
81,5533
82,5534
83,5535
84,5536
85,5537
86,5538
87,5539
88,5540
89,5541
90,5542
91,5543
92,5544
93,5545
94,5546
95,5547
96,5548
97,5549
98,5550
99,5551
100,5552
101,5553
102,5554
103,5555
104,5556
105,5557
106,5558
107,5559
108,5560
109,5561
110,5562
111,5563
112,5564
113,5565
114,5566
115,5567
116,5568
117,5569
118,5570
119,5571
120,5572
121,5573
122,5574
123,5575
124,5576
125,5577
126,5578
127,5579
128,5580
129,5581
130,5582
131,5583
132,5584
133,5585
134,5586
135,5587
136,5588
137,5589
138,5590
139,5591
140,5592
141,5593
142,5594
143,5595
144,5596
145,5597
146,5598
147,5599
148,5600
149,5601
150,5602
151,5603
152,5604
153,5605
154,5606
155,5607
156,5608
157,5609
158,5610
159,5611
160,5612
161,5613
162,5614
163,5615
164,5616
165,5617
166,5618
167,5619
168,5620
169,5621
170,5622
171,5623
172,5624
173,5625
174,5626
175,5627
176,5628
177,5629
178,5630
179,5631
180,5632
181,5633
182,5634
183,5635
184,5636
185,5637
186,5638
187,5639
188,5640
189,5641
190,5642
191,5643
192,5644
193,5645
194,5646
195,5647
196,5648
197,5649
198,5650
199,5651
200,5652
201,5653
202,5654
203,5655
204,5656
205,5657
206,5658
207,5659
208,5660
209,5661
210,5662
211,5663
212,5664
213,5665
214,5666
215,5667
216,5668
217,5669
218,5670
219,5671
220,5672
221,5673
222,5674
223,5675
224,5676
225,5677
