,time,Skykight,InShade,NorthUp,Northdown,SouthUp,Southdown,TimeStep
0,2020/4/1 00:00,10,0,100,100,100,100,2.02004E+11
1,2020/4/1 00:10,10,0,100,100,100,100,2.02004E+11
2,2020/4/1 00:20,10,0,100,100,100,100,2.02004E+11
3,2020/4/1 00:30,10,0,100,100,100,100,2.02004E+11
4,2020/4/1 00:40,10,0,100,100,100,100,2.02004E+11
5,2020/4/1 00:50,10,0,100,100,100,100,2.02004E+11
6,2020/4/1 01:00,10,0,100,100,100,100,2.02004E+11
7,2020/4/1 01:10,10,0,100,100,100,100,2.02004E+11
8,2020/4/1 01:20,10,0,100,100,100,100,2.02004E+11
9,2020/4/1 01:30,10,0,100,100,100,100,2.02004E+11
10,2020/4/1 01:40,10,0,100,100,100,100,2.02004E+11
11,2020/4/1 01:50,10,0,100,100,100,100,2.02004E+11
12,2020/4/1 02:00,10,0,100,100,100,100,2.02004E+11
13,2020/4/1 02:10,10,0,100,100,100,100,2.02004E+11
14,2020/4/1 02:20,10,0,100,100,100,100,2.02004E+11
15,2020/4/1 02:30,10,0,100,100,100,100,2.02004E+11
16,2020/4/1 02:40,10,0,100,100,100,100,2.02004E+11
17,2020/4/1 02:50,10,0,100,100,100,100,2.02004E+11
18,2020/4/1 03:00,10,0,100,100,100,100,2.02004E+11
19,2020/4/1 03:10,10,0,100,100,100,100,2.02004E+11
20,2020/4/1 03:20,10,0,100,100,100,100,2.02004E+11
21,2020/4/1 03:30,10,0,100,100,100,100,2.02004E+11
22,2020/4/1 03:40,10,0,100,100,100,100,2.02004E+11
23,2020/4/1 03:50,10,0,100,100,100,100,2.02004E+11
24,2020/4/1 04:00,10,0,100,100,100,100,2.02004E+11
25,2020/4/1 04:10,10,0,100,100,100,100,2.02004E+11
26,2020/4/1 04:20,10,0,100,100,100,100,2.02004E+11
27,2020/4/1 04:30,10,0,100,100,100,100,2.02004E+11
28,2020/4/1 04:40,10,0,100,100,100,100,2.02004E+11
29,2020/4/1 04:50,10,0,100,100,100,100,2.02004E+11
30,2020/4/1 05:00,10,0,100,100,100,100,2.02004E+11
31,2020/4/1 05:10,10,0,100,100,100,100,2.02004E+11
32,2020/4/1 05:20,10,0,100,100,100,100,2.02004E+11
33,2020/4/1 05:30,10,0,100,100,100,100,2.02004E+11
34,2020/4/1 05:40,10,0,100,100,100,100,2.02004E+11
35,2020/4/1 05:50,10,0,100,100,100,100,2.02004E+11
36,2020/4/1 06:00,10,0,100,100,100,100,2.02004E+11
37,2020/4/1 06:10,10,0,100,100,100,100,2.02004E+11
38,2020/4/1 06:20,10,0,100,100,100,100,2.02004E+11
39,2020/4/1 06:30,10,0,100,100,100,100,2.02004E+11
40,2020/4/1 06:40,10,0,100,100,100,100,2.02004E+11
41,2020/4/1 06:50,10,0,100,100,100,100,2.02004E+11
42,2020/4/1 07:00,10,0,100,100,100,100,2.02004E+11
43,2020/4/1 07:10,10,0,100,100,100,100,2.02004E+11
44,2020/4/1 07:20,10,0,100,100,100,100,2.02004E+11
45,2020/4/1 07:30,10,0,100,100,100,100,2.02004E+11
46,2020/4/1 07:40,10,0,100,100,100,100,2.02004E+11
47,2020/4/1 07:50,10,0,100,100,100,100,2.02004E+11
48,2020/4/1 08:00,10,0,100,100,100,100,2.02004E+11
49,2020/4/1 08:10,10,0,100,100,100,100,2.02004E+11
50,2020/4/1 08:20,10,0,100,100,100,100,2.02004E+11
51,2020/4/1 08:30,10,0,100,100,100,100,2.02004E+11
52,2020/4/1 08:40,10,0,100,100,100,100,2.02004E+11
53,2020/4/1 08:50,10,0,100,100,100,100,2.02004E+11
54,2020/4/1 09:00,10,0,100,100,100,100,2.02004E+11
55,2020/4/1 09:10,10,0,100,100,100,100,2.02004E+11
56,2020/4/1 09:20,10,0,100,100,100,100,2.02004E+11
57,2020/4/1 09:30,10,0,100,100,100,100,2.02004E+11
58,2020/4/1 09:40,10,0,100,100,100,100,2.02004E+11
59,2020/4/1 09:50,10,0,100,100,100,100,2.02004E+11
60,2020/4/1 10:00,10,0,100,100,100,100,2.02004E+11
61,2020/4/1 10:10,10,0,100,100,100,100,2.02004E+11
62,2020/4/1 10:20,10,0,100,100,100,100,2.02004E+11
63,2020/4/1 10:30,10,0,100,100,100,100,2.02004E+11
64,2020/4/1 10:40,10,0,100,100,100,100,2.02004E+11
65,2020/4/1 10:50,10,0,100,100,100,100,2.02004E+11
