time,Skykight,InShade,NorthUp,Northdown,SouthUp,Southdown,TimeStep
2020-04-01 00:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010000.0
2020-04-01 00:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010010.0
2020-04-01 00:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010020.0
2020-04-01 00:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010030.0
2020-04-01 00:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010040.0
2020-04-01 00:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010050.0
2020-04-01 01:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010100.0
2020-04-01 01:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010110.0
2020-04-01 01:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010120.0
2020-04-01 01:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010130.0
2020-04-01 01:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010140.0
2020-04-01 01:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010150.0
2020-04-01 02:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010200.0
2020-04-01 02:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010210.0
2020-04-01 02:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010220.0
2020-04-01 02:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010230.0
2020-04-01 02:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010240.0
2020-04-01 02:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010250.0
2020-04-01 03:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010300.0
2020-04-01 03:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010310.0
2020-04-01 03:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010320.0
2020-04-01 03:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010330.0
2020-04-01 03:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010340.0
2020-04-01 03:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010350.0
2020-04-01 04:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010400.0
2020-04-01 04:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010410.0
2020-04-01 04:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010420.0
2020-04-01 04:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010430.0
2020-04-01 04:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010440.0
2020-04-01 04:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010450.0
2020-04-01 05:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010500.0
2020-04-01 05:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010510.0
2020-04-01 05:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010520.0
2020-04-01 05:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010530.0
2020-04-01 05:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010540.0
2020-04-01 05:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010550.0
2020-04-01 06:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010600.0
2020-04-01 06:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010610.0
2020-04-01 06:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010620.0
2020-04-01 06:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010630.0
2020-04-01 06:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010640.0
2020-04-01 06:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010650.0
2020-04-01 07:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010700.0
2020-04-01 07:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010710.0
2020-04-01 07:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010720.0
2020-04-01 07:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010730.0
2020-04-01 07:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010740.0
2020-04-01 07:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010750.0
2020-04-01 08:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010800.0
2020-04-01 08:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010810.0
2020-04-01 08:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010820.0
2020-04-01 08:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010830.0
2020-04-01 08:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010840.0
2020-04-01 08:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010850.0
2020-04-01 09:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010900.0
2020-04-01 09:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010910.0
2020-04-01 09:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010920.0
2020-04-01 09:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010930.0
2020-04-01 09:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010940.0
2020-04-01 09:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004010950.0
2020-04-01 10:00:00,10.0,0.0,100.0,100.0,100.0,100.0,202004011000.0
2020-04-01 10:10:00,10.0,0.0,100.0,100.0,100.0,100.0,202004011010.0
2020-04-01 10:20:00,10.0,0.0,100.0,100.0,100.0,100.0,202004011020.0
2020-04-01 10:30:00,10.0,0.0,100.0,100.0,100.0,100.0,202004011030.0
2020-04-01 10:40:00,10.0,0.0,100.0,100.0,100.0,100.0,202004011040.0
2020-04-01 10:50:00,10.0,0.0,100.0,100.0,100.0,100.0,202004011050.0
